Time	Cell_type	Mean	Min	Max	Std
0.250000	0	0.098660	0.005476	0.559548	0.066171
0.250000	1	1.315060	0.837667	1.722685	0.175488
0.500000	0	0.098243	0.005960	0.569363	0.066244
0.500000	1	1.296370	0.618701	1.822403	0.243137
0.750000	0	0.102698	0.007982	0.675528	0.072494
0.750000	1	1.396124	0.548182	2.268186	0.278587
1.000000	0	0.100119	0.005748	1.453109	0.080669
1.000000	1	1.349011	0.754565	2.805762	0.304676
1.250000	0	0.098705	0.010774	1.107928	0.081265
1.250000	1	1.334009	0.421015	2.390118	0.294298
1.500000	0	0.099620	0.007707	0.902237	0.073889
1.500000	1	1.333927	0.401898	2.354536	0.289229
1.750000	0	0.101480	0.014679	0.687500	0.071229
1.750000	1	1.408272	0.792599	2.433303	0.263632
2.000000	0	0.096974	0.006332	0.665159	0.067115
2.000000	1	1.285339	0.106268	2.437348	0.279356
2.250000	0	0.096404	0.009599	1.498863	0.080097
2.250000	1	1.339596	0.414892	2.425841	0.246590
2.500000	0	0.103087	0.002857	0.954785	0.083702
2.500000	1	1.311334	0.330748	2.126952	0.267854
2.750000	0	0.097180	0.011306	0.479770	0.063417
2.750000	1	1.308106	0.378655	2.130057	0.254658
3.000000	0	0.096294	0.009194	1.246508	0.079460
3.000000	1	1.328931	0.601176	2.903166	0.312335
3.250000	0	0.095692	0.005946	0.542247	0.064734
3.250000	1	1.331167	0.522905	2.126388	0.289190
3.500000	0	0.095609	0.001669	0.631624	0.067296
3.500000	1	1.326824	0.404224	2.258891	0.305971
3.750000	0	0.093141	0.007828	0.605585	0.062990
3.750000	1	1.304903	0.681728	2.222937	0.286577
4.000000	0	0.098993	0.011413	0.917661	0.073912
4.000000	1	1.325201	0.538396	2.412497	0.315405
4.250000	0	0.098423	0.008899	2.446833	0.105570
4.250000	1	1.401383	0.688909	3.649117	0.416942
4.500000	0	0.096438	0.003595	0.670115	0.068087
4.500000	1	1.353644	0.527502	2.191061	0.291116
4.750000	0	0.091756	0.011197	0.409912	0.053173
4.750000	1	1.327679	0.838000	2.041001	0.212781
5.000000	0	0.092962	0.004406	0.870398	0.063028
5.000000	1	1.357664	0.858762	2.635991	0.291852
