Time	Cell_type	Mean	Min	Max	Std
0.250000	0	0.080964	0.007613	0.527496	0.068220
0.250000	1	1.206462	0.718229	1.619531	0.179122
0.500000	0	0.078977	0.004687	0.574238	0.065566
0.500000	1	1.214414	0.262821	2.016798	0.250796
0.750000	0	0.081043	0.006650	0.712127	0.072323
0.750000	1	1.271427	0.643822	2.110241	0.239319
1.000000	0	0.079296	0.006382	0.786298	0.069662
1.000000	1	1.233529	0.281833	2.013941	0.259940
1.250000	0	0.083231	0.003919	0.682830	0.076533
1.250000	1	1.230532	0.454030	2.094338	0.283705
1.500000	0	0.079731	0.010394	0.951628	0.070140
1.500000	1	1.216316	0.060813	2.105470	0.271696
1.750000	0	0.081216	0.006499	0.798975	0.066384
1.750000	1	1.282415	0.750022	2.295689	0.247449
2.000000	0	0.075541	0.004774	0.620140	0.060576
2.000000	1	1.198487	0.356736	1.779686	0.206350
2.250000	0	0.074948	0.004425	0.878491	0.063106
2.250000	1	1.230605	0.347128	1.882354	0.243354
2.500000	0	0.076810	0.001827	0.746112	0.065659
2.500000	1	1.217537	0.340292	2.152957	0.279204
2.750000	0	0.080199	0.003923	0.579991	0.063833
2.750000	1	1.248540	0.551707	2.130705	0.274282
3.000000	0	0.076553	0.004386	0.638476	0.062722
3.000000	1	1.244920	0.410115	1.979162	0.272780
3.250000	0	0.077356	0.002430	0.973017	0.067940
3.250000	1	1.226294	0.561910	1.975304	0.242929
3.500000	0	0.078019	0.006647	1.634541	0.087036
3.500000	1	1.271677	0.494571	2.452656	0.303120
3.750000	0	0.078544	0.004995	1.210012	0.085979
3.750000	1	1.247235	0.522885	2.494903	0.321986
4.000000	0	0.082631	0.000445	1.044746	0.083254
4.000000	1	1.216852	0.349773	2.162275	0.274625
4.250000	0	0.077136	0.005794	0.522585	0.062474
4.250000	1	1.224667	0.522115	1.925003	0.262921
4.500000	0	0.074402	0.010505	0.486821	0.054589
4.500000	1	1.225418	0.558382	2.129399	0.254529
4.750000	0	0.076021	0.006020	0.538098	0.058847
4.750000	1	1.196656	0.495131	2.159851	0.233756
5.000000	0	0.075657	0.002163	0.576846	0.058051
5.000000	1	1.236538	0.090483	3.281240	0.384491
5.250000	0	0.076941	0.003193	0.554814	0.063843
5.250000	1	1.262941	0.560060	2.090395	0.267442
5.500000	0	0.075803	0.002346	0.554564	0.057983
5.500000	1	1.265042	0.103157	2.664739	0.320155
5.750000	0	0.077455	0.000614	0.503871	0.058041
5.750000	1	1.220378	0.544305	1.875264	0.255688
6.000000	0	0.075016	0.003767	0.647694	0.064891
6.000000	1	1.245854	0.265855	2.263161	0.300253
6.250000	0	0.076301	0.004810	1.225005	0.075451
6.250000	1	1.227040	0.525328	2.228458	0.262664
6.500000	0	0.075498	0.001717	0.640097	0.068037
6.500000	1	1.221108	0.657225	1.882014	0.215380
6.750000	0	0.075905	0.005052	0.496773	0.058198
6.750000	1	1.188322	0.351529	2.313342	0.278636
7.000000	0	0.075963	0.007762	0.548186	0.057650
7.000000	1	1.237826	0.102090	2.640349	0.362010
7.250000	0	0.073020	0.005808	0.666865	0.055869
7.250000	1	1.224990	0.111565	2.292327	0.301229
7.500000	0	0.070958	0.002776	0.511445	0.050308
7.500000	1	1.219122	0.451927	2.427652	0.318284
7.750000	0	0.070059	0.003254	0.482206	0.050988
7.750000	1	1.219117	0.374151	1.958177	0.276306
