Time	Cell_type	Mean	Min	Max	Std
0.250000	0	0.064607	0.001133	0.681324	0.085752
0.250000	1	1.518748	0.921399	2.054341	0.209383
0.500000	0	0.066872	0.000600	0.922764	0.098138
0.500000	1	1.530248	0.656147	2.402425	0.303387
0.750000	0	0.068859	0.000735	1.239194	0.111636
0.750000	1	1.600574	0.872504	2.654132	0.295426
1.000000	0	0.065698	0.000846	1.448011	0.104681
1.000000	1	1.543147	0.479094	2.490530	0.325392
1.250000	0	0.067065	0.001310	0.935517	0.102825
1.250000	1	1.586712	0.550007	2.821763	0.354714
1.500000	0	0.063704	0.000990	1.142144	0.105047
1.500000	1	1.551839	0.608106	2.536517	0.342355
1.750000	0	0.063251	0.000268	1.339911	0.100798
1.750000	1	1.591123	0.622582	2.756013	0.291752
2.000000	0	0.061511	0.000621	1.388536	0.108523
2.000000	1	1.448771	0.412683	2.159769	0.278818
2.250000	0	0.064347	0.000955	2.844554	0.140994
2.250000	1	1.564315	0.544340	2.655823	0.340021
2.500000	0	0.061473	0.000447	1.452884	0.116494
2.500000	1	1.528387	0.488588	3.322877	0.327326
2.750000	0	0.063128	0.000962	1.475079	0.102336
2.750000	1	1.532766	0.638379	2.807232	0.303601
3.000000	0	0.058743	0.000950	1.473236	0.103200
3.000000	1	1.545785	0.622655	2.974946	0.339422
3.250000	0	0.060365	0.000489	0.971878	0.095593
3.250000	1	1.530514	0.317192	2.692628	0.319899
3.500000	0	0.059625	0.000168	1.803450	0.106967
3.500000	1	1.504663	0.671027	2.642125	0.324816
3.750000	0	0.060486	0.000307	2.139408	0.117145
3.750000	1	1.472371	0.520574	2.851705	0.318425
4.000000	0	0.060436	0.000502	1.064410	0.094095
4.000000	1	1.559319	0.909522	2.456339	0.316979
4.250000	0	0.060120	0.000541	1.460634	0.114125
4.250000	1	1.548558	0.684808	3.310479	0.293383
4.500000	0	0.054790	0.000685	0.651079	0.082905
4.500000	1	1.587910	0.841438	2.523445	0.303364
4.750000	0	0.053134	0.000567	0.605815	0.076070
4.750000	1	1.522191	0.211977	2.685861	0.324168
5.000000	0	0.048399	0.000574	0.592804	0.064449
5.000000	1	1.529012	0.575035	2.473848	0.287835
5.250000	0	0.055794	0.000477	1.395639	0.095109
5.250000	1	1.549573	0.746266	2.937055	0.331922
5.500000	0	0.052923	0.000530	0.744908	0.076285
5.500000	1	1.508612	0.731162	2.833669	0.314896
5.750000	0	0.056428	0.000605	0.942843	0.089136
5.750000	1	1.537964	0.118719	2.470769	0.321481
6.000000	0	0.052209	0.000746	1.135535	0.081572
6.000000	1	1.559721	0.613642	2.715175	0.314787
6.250000	0	0.052270	0.000614	0.798991	0.079822
6.250000	1	1.518877	0.836935	2.582097	0.300501
6.500000	0	0.051380	0.000458	1.146072	0.078603
6.500000	1	1.521323	0.700550	2.476832	0.295269
6.750000	0	0.051938	0.001425	1.214178	0.084559
6.750000	1	1.517934	0.411844	2.487103	0.275258
7.000000	0	0.055678	0.001332	1.570311	0.094412
7.000000	1	1.531771	0.387585	3.365830	0.362929
7.250000	0	0.052585	0.001261	0.656453	0.077419
7.250000	1	1.541123	0.484747	2.444130	0.304165
7.500000	0	0.054175	0.001535	1.004960	0.085383
7.500000	1	1.548952	0.835623	2.762245	0.289566
7.750000	0	0.053842	0.001094	2.200501	0.114251
7.750000	1	1.535677	0.558179	3.147560	0.306165
8.000000	0	0.055235	0.001109	1.194751	0.094863
8.000000	1	1.560784	0.861324	2.431292	0.302738
8.250000	0	0.055287	0.001091	0.629526	0.080051
8.250000	1	1.522695	0.903994	2.716622	0.308218
8.500000	0	0.055569	0.000955	1.043778	0.098153
8.500000	1	1.527905	0.454340	2.388011	0.281675
8.750000	0	0.051675	0.000197	0.620767	0.074993
8.750000	1	1.565035	0.867085	2.596820	0.281855
9.000000	0	0.050433	0.000398	0.814039	0.077084
9.000000	1	1.547951	0.775943	2.591729	0.306583
9.250000	0	0.055913	0.000585	1.572644	0.105999
9.250000	1	1.541143	0.330108	3.452938	0.430128
9.500000	0	0.050960	0.000274	1.242049	0.091578
